"","Null_sample_size","Median_distance_huanan_null","Median_distance_all_removed","p-value_all_removed","Median_distance_unlinked_removed","p-value_unlinked_removed"
"124",32,16.0778174986971,15.7305081961024,0.451,13.7333196335625,0.231
"125",31,16.1669272746518,15.9532883168117,0.474,13.7830899062574,0.229
"126",30,16.065748361911,16.1007801678826,0.505,14.0148243871881,0.263
"127",29,16.090762523671,16.2482720189535,0.52,14.2465588681188,0.297
"128",28,16.0693254754206,16.8907476479194,0.613,14.7523269870611,0.352
"129",27,15.9815544000711,17.5332232768854,0.671,15.2580951060035,0.398
"130",26,16.0881761898482,18.8117247911905,0.799,15.2759639202652,0.394
"131",25,16.1724898732784,20.0902263054956,0.882,15.2938327345268,0.404
"132",24,15.7639895033492,20.3206309463264,0.897,15.3792601089958,0.46
"133",23,16.3280641646464,20.5510355871573,0.881,15.4646874834647,0.409
"134",22,16.1126657829367,20.5666344093392,0.899,15.4794625540847,0.43
"135",21,16.090536955894,20.5822332315211,0.9,15.4942376247047,0.439
"136",20,15.9298986303463,21.3956714617983,0.908,15.7237629707582,0.475
"137",19,16.0359055093963,22.2091096920755,0.923,15.9532883168117,0.487
"138",18,15.9992075923937,26.4613588646892,0.987,16.1007801678826,0.513
"139",17,16.0414217132051,30.7136080373028,0.998,16.2482720189535,0.527
"140",16,15.7172929546595,30.8951822164954,0.999,16.8907476479194,0.606
"141",15,16.217643519981,31.0767563956879,0.995,17.5332232768854,0.632
"142",14,16.210713806669,33.4476206025324,0.999,18.8117247911905,0.728
"143",13,16.2602666591122,35.8184848093768,0.999,20.0902263054956,0.787
"144",12,15.7473779912436,35.9598407266518,0.999,20.3206309463264,0.788
"145",11,16.1841823183984,36.1011966439269,0.999,20.5510355871573,0.809
"146",10,16.3069473425116,37.3882475140962,0.999,21.3800726396164,0.832
"147",9,15.623131884205,38.6752983842654,0.999,22.2091096920755,0.859
"148",8,16.0619284161076,38.6752983842654,0.999,26.4613588646892,0.934
"149",7,16.4895224482873,38.6752983842654,0.998,30.7136080373028,0.966
"150",6,16.2860075357412,46.2926515188359,0.999,30.8951822164954,0.961
"151",5,15.8566318490186,53.9100046534063,0.997,31.0767563956879,0.963
"152",4,16.0690947894582,53.9100046534063,0.998,33.4476206025324,0.945
"153",3,16.347528661264,53.9100046534063,0.986,35.8184848093768,0.948
"154",2,18.2230883191314,55.2434205090669,0.994,46.1976605870521,0.972
"155",1,16.4547585658776,56.5768363647275,0.963,56.5768363647275,0.963
