"id","distance_market_km"
"673","13.0268"
"674","17.2392"
"675","17.2392"
"676","13.0639"
"677","18.8349"
"678","21.0468"
"679","13.2733"
"680","13.3070"
"681","18.9537"
"682","18.9537"
"683","13.5017"
"684","20.1133"
"685","19.4334"
"686","19.4334"
"687","19.2560"
"688","13.7312"
"689","13.7778"
"690","19.0362"
"691","13.7752"
"692","13.8450"
"693","19.7701"
"694","19.1260"
"695","17.7730"
"696","14.2890"
"697","14.0336"
"698","22.4507"
"699","19.2562"
"700","19.9169"
"701","19.1892"
"702","14.1429"
"703","14.1529"
"704","19.1186"
"705","18.5316"
"706","18.5316"
"707","14.4699"
"708","14.4699"
"709","19.6751"
"710","19.8111"
"711","15.3975"
"712","15.3209"
"713","15.3235"
"714","19.1152"
"715","25.3847"
"716","21.7327"
"717","21.7327"
"718","21.9962"
"719","19.1423"
"720","18.9635"
"721","19.7129"
"722","21.1519"
"723","27.2544"
"724","33.3553"
"725","33.2860"
"726","33.2860"
"727","30.6005"
"728","30.9231"
"729","34.6446"
"730","36.4224"
"731","47.6664"
"732","54.0517"
"733","63.6790"
"734","65.4139"
"735","68.9342"
"736","76.1401"
"737","8.2045"
